fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,tackles_total,dribbles_past,goals_total,penalty_won,penalty_commited
2517,Bayern Munich,157,497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,90,1,G,7.1,True,False,0,0,1.0,4.0,32,0,91%,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
2517,Bayern Munich,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90,32,D,7.9,False,False,0,0,,,65,4,87%,0,2,8,5,1,0,3,0,0,0,0,0,,1.0,,,,,
2517,Bayern Munich,157,506,Niklas Süle,https://media.api-sports.io/football/players/506.png,90,4,D,6.9,False,False,0,0,,,71,0,94%,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2517,Bayern Munich,157,499,Jérôme Boateng,https://media.api-sports.io/football/players/499.png,90,17,D,6.5,False,False,1,0,,,46,0,80%,0,1,9,5,0,0,2,0,0,0,0,0,,,1.0,1.0,,,
2517,Bayern Munich,157,505,David Alaba,https://media.api-sports.io/football/players/505.png,90,27,D,6.6,False,False,1,0,,,50,0,79%,0,0,5,3,2,2,0,0,0,0,0,0,,,,,,,
2517,Bayern Munich,157,514,Javi Martínez,https://media.api-sports.io/football/players/514.png,67,8,M,7.3,False,False,0,0,,,32,1,91%,1,1,9,7,0,0,1,1,0,0,0,0,,,2.0,1.0,,,
2517,Bayern Munich,157,508,Kingsley Coman,https://media.api-sports.io/football/players/508.png,45,29,M,6.7,False,False,1,1,,,19,0,90%,0,0,7,6,2,2,4,0,0,0,0,0,,,,,,,
2517,Bayern Munich,157,522,Thomas Müller,https://media.api-sports.io/football/players/522.png,90,25,M,7.9,False,False,1,1,,,42,3,87%,0,0,14,6,2,1,1,2,1,0,0,0,,1.0,1.0,1.0,1.0,,
2517,Bayern Munich,157,507,Thiago Alcántara,https://media.api-sports.io/football/players/507.png,90,6,M,7.1,False,False,2,0,,,62,0,87%,0,3,10,6,0,0,4,1,0,0,0,0,,,1.0,1.0,,,
2517,Bayern Munich,157,515,Franck Ribéry,https://media.api-sports.io/football/players/515.png,83,7,M,7.0,False,False,0,0,,,31,2,81%,0,1,9,5,4,2,3,1,0,0,0,0,,,,,,1.0,
