fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_past,fouls_committed,shots_total,tackles_blocks,fouls_drawn,dribbles_attempts,dribbles_success,shots_on,goals_total,goals_assists,passes_key,penalty_won,penalty_commited,offsides
587176,Bayern Munich,157,497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,90.0,1,G,7.2,True,False,0,1.0,29.0,29,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
587176,Bayern Munich,157,2725,Benjamin Pavard,https://media.api-sports.io/football/players/2725.png,90.0,5,D,6.9,False,False,0,,66.0,59,0,0,0,0,,1.0,2.0,7.0,1.0,2.0,3.0,,,,,,,,,,,,
587176,Bayern Munich,157,506,Niklas Süle,https://media.api-sports.io/football/players/506.png,90.0,4,D,7.3,False,False,0,,97.0,90,0,0,0,0,,2.0,1.0,5.0,4.0,,1.0,1.0,,,,,,,,,,,
587176,Bayern Munich,157,499,Jérôme Boateng,https://media.api-sports.io/football/players/499.png,73.0,17,D,7.2,False,False,0,,63.0,60,0,0,0,0,,1.0,1.0,4.0,4.0,,,1.0,1.0,1.0,,,,,,,,,
587176,Bayern Munich,157,33,Lucas Hernández,https://media.api-sports.io/football/players/33.png,90.0,21,D,7.2,False,False,0,,55.0,45,0,0,0,0,,2.0,1.0,12.0,8.0,1.0,,,,3.0,3.0,1.0,,,,,,,
587176,Bayern Munich,157,511,Leon Goretzka,https://media.api-sports.io/football/players/511.png,51.0,18,M,7,False,False,0,,35.0,31,0,0,0,0,,,1.0,5.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,
587176,Bayern Munich,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,90.0,6,M,8.7,False,False,0,,66.0,64,1,0,0,0,,1.0,1.0,10.0,5.0,1.0,1.0,2.0,,3.0,1.0,,1.0,,2.0,4.0,,,
587176,Bayern Munich,157,644,Leroy Sané,https://media.api-sports.io/football/players/644.png,72.0,10,M,9.2,False,False,0,,18.0,14,0,0,0,0,,,,7.0,2.0,,,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,,,
587176,Bayern Munich,157,522,Thomas Müller,https://media.api-sports.io/football/players/522.png,82.0,25,M,8.5,False,False,0,,43.0,32,0,0,0,0,,3.0,2.0,9.0,4.0,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,
587176,Bayern Munich,157,510,Serge Gnabry,https://media.api-sports.io/football/players/510.png,72.0,7,M,10,False,False,0,,35.0,30,0,0,0,0,,3.0,2.0,9.0,3.0,,1.0,4.0,,,2.0,,3.0,3.0,,3.0,,,
587176,Bayern Munich,157,521,Robert Lewandowski,https://media.api-sports.io/football/players/521.png,90.0,9,F,8,False,False,0,,27.0,21,0,0,1,0,,,,7.0,1.0,,3.0,3.0,,1.0,,,2.0,1.0,2.0,2.0,1.0,,
587176,Bayern Munich,157,498,Sven Ulreich,https://media.api-sports.io/football/players/498.png,,26,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,Bayern Munich,157,399,Alexander Nübel,https://media.api-sports.io/football/players/399.png,,35,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,Bayern Munich,157,509,Alphonso Davies,https://media.api-sports.io/football/players/509.png,,19,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,Bayern Munich,157,126949,Chris Richards,https://media.api-sports.io/football/players/126949.png,17.0,41,D,6.7,False,True,0,,20.0,19,0,0,0,0,,,1.0,,,,,,,,,,,,,,,,
587176,Bayern Munich,157,514,Javi Martínez,https://media.api-sports.io/football/players/514.png,,8,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,Bayern Munich,157,519,Corentin Tolisso,https://media.api-sports.io/football/players/519.png,39.0,24,M,6.6,False,True,0,,31.0,28,0,0,0,0,,,,5.0,3.0,2.0,,2.0,,2.0,1.0,1.0,1.0,,,1.0,,,
587176,Bayern Munich,157,181812,Jamal Musiala,https://media.api-sports.io/football/players/181812.png,18.0,42,M,7.2,False,True,0,,7.0,6,0,0,0,0,,,,2.0,1.0,,,1.0,,,2.0,1.0,1.0,1.0,,,,,
587176,Bayern Munich,157,25634,Michaël Cuisance,https://media.api-sports.io/football/players/25634.png,18.0,11,M,6.2,False,True,0,,10.0,9,0,0,0,0,,,,2.0,,,,,,,,,,,,,,,
587176,Bayern Munich,157,70100,Joshua Zirkzee,https://media.api-sports.io/football/players/70100.png,8.0,14,M,6.6,False,True,0,,2.0,2,0,0,0,0,,1.0,,1.0,1.0,,,,,,,,,,,,,,
587176,FC Schalke 04,174,396,Ralf Fährmann,https://media.api-sports.io/football/players/396.png,90.0,1,G,4.3,False,False,8,3.0,37.0,18,0,0,0,0,0.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
587176,FC Schalke 04,174,416,Sebastian Rudy,https://media.api-sports.io/football/players/416.png,90.0,13,D,5.6,False,False,0,,33.0,19,0,0,0,0,,4.0,1.0,11.0,6.0,3.0,1.0,,,,,,,,,,,,
587176,FC Schalke 04,174,26300,Ozan Kabak,https://media.api-sports.io/football/players/26300.png,90.0,4,D,5.2,False,False,0,,39.0,37,1,0,0,0,,2.0,,13.0,7.0,,3.0,,,,6.0,4.0,,,,,,1.0,
587176,FC Schalke 04,174,407,Benjamin Stambouli,https://media.api-sports.io/football/players/407.png,90.0,17,D,5.9,True,False,0,,48.0,36,1,0,0,0,,1.0,3.0,3.0,3.0,,,,,1.0,1.0,1.0,,,,,,,
587176,FC Schalke 04,174,404,Bastian Oczipka,https://media.api-sports.io/football/players/404.png,90.0,24,D,5.6,False,False,0,,39.0,27,0,0,0,0,,2.0,4.0,6.0,5.0,,,,,1.0,2.0,1.0,,,,,,,
587176,FC Schalke 04,174,423,Rabbi Matondo,https://media.api-sports.io/football/players/423.png,65.0,14,M,5.9,False,False,0,,12.0,9,0,0,0,0,,,,6.0,1.0,1.0,1.0,,,1.0,2.0,,,,,1.0,,,
587176,FC Schalke 04,174,418,Suat Serdar,https://media.api-sports.io/football/players/418.png,30.0,8,M,6.3,False,False,0,,9.0,6,0,0,0,0,,2.0,,3.0,2.0,,,,,,,,,,,,,,
587176,FC Schalke 04,174,409,Nabil Bentaleb,https://media.api-sports.io/football/players/409.png,90.0,10,M,6.3,False,False,0,,45.0,40,0,0,0,0,,4.0,2.0,7.0,4.0,1.0,2.0,,,,,,,,,,,,
587176,FC Schalke 04,174,412,Amine Harit,https://media.api-sports.io/football/players/412.png,79.0,25,M,6.3,False,False,0,,22.0,16,0,0,0,0,,,1.0,9.0,6.0,,,,,4.0,4.0,2.0,,,,1.0,,,
587176,FC Schalke 04,174,426,Mark Uth,https://media.api-sports.io/football/players/426.png,90.0,7,F,6.3,False,False,0,,24.0,20,0,0,0,0,,2.0,,8.0,4.0,,2.0,,,2.0,,,,,,,,,
587176,FC Schalke 04,174,1830,Gonçalo Paciência,https://media.api-sports.io/football/players/1830.png,79.0,18,F,6.7,False,False,0,,17.0,9,0,0,0,0,,,,12.0,4.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,
587176,FC Schalke 04,174,25114,Markus Schubert,https://media.api-sports.io/football/players/25114.png,,23,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,FC Schalke 04,174,163189,Malick Thiaw,https://media.api-sports.io/football/players/163189.png,,33,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,FC Schalke 04,174,90977,Timo Becker,https://media.api-sports.io/football/players/90977.png,11.0,31,D,6.2,False,True,0,,4.0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,FC Schalke 04,174,402,Hamza Mendyl,https://media.api-sports.io/football/players/402.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,FC Schalke 04,174,417,Alessandro Schöpf,https://media.api-sports.io/football/players/417.png,60.0,28,M,6,False,True,0,,22.0,22,0,0,0,0,,1.0,,3.0,1.0,,1.0,,,,1.0,,,,,,,,
587176,FC Schalke 04,174,424,Steven Skrzybski,https://media.api-sports.io/football/players/424.png,11.0,22,F,6.7,False,True,0,,2.0,2,0,0,0,0,,,,1.0,1.0,,,,,1.0,,,,,,,,,
587176,FC Schalke 04,174,25467,Benito Raman,https://media.api-sports.io/football/players/25467.png,25.0,9,F,6.7,False,True,0,,8.0,5,0,0,0,0,,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,
587176,FC Schalke 04,174,422,Ahmed Kutucu,https://media.api-sports.io/football/players/422.png,,15,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587176,FC Schalke 04,174,25359,Vedad Ibišević,https://media.api-sports.io/football/players/25359.png,,11,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587183,Werder Bremen,162,25310,Jiří Pavlenka,https://media.api-sports.io/football/players/25310.png,90.0,1,G,5.3,False,False,4,2.0,17.0,13,0,0,0,0,0.0,,,1.0,1.0,,,,,,,,,,,,,,
587183,Werder Bremen,162,25315,Theodor Gebre Selassie,https://media.api-sports.io/football/players/25315.png,90.0,23,D,5.6,False,False,0,,39.0,27,0,0,0,0,,,1.0,8.0,2.0,2.0,2.0,,,2.0,1.0,,,,,,,,
587183,Werder Bremen,162,25317,Niklas Moisander,https://media.api-sports.io/football/players/25317.png,90.0,18,D,5.9,True,False,0,,44.0,33,0,0,0,0,,1.0,4.0,6.0,2.0,2.0,,,,,,,,,,,,,
587183,Werder Bremen,162,25314,Marco Friedl,https://media.api-sports.io/football/players/25314.png,90.0,32,D,5.6,False,False,0,,36.0,29,0,0,0,0,,1.0,,8.0,3.0,3.0,2.0,,,2.0,,,,,,,,,
587183,Werder Bremen,162,2852,Ludwig Augustinsson,https://media.api-sports.io/football/players/2852.png,90.0,5,D,7.2,False,False,0,,40.0,24,0,0,0,0,,3.0,2.0,10.0,8.0,,1.0,,1.0,1.0,2.0,1.0,,,1.0,3.0,,,
587183,Werder Bremen,162,25321,Davy Klaassen,https://media.api-sports.io/football/players/25321.png,63.0,30,M,6.7,False,False,0,,21.0,16,0,0,0,0,,1.0,2.0,7.0,3.0,,2.0,2.0,,1.0,2.0,1.0,,,,,,,
587183,Werder Bremen,162,2917,Maximilian Eggestein,https://media.api-sports.io/football/players/2917.png,90.0,35,M,6.7,False,False,0,,40.0,28,1,0,0,0,,2.0,2.0,9.0,4.0,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,
587183,Werder Bremen,162,906,Tahith Chong,https://media.api-sports.io/football/players/906.png,63.0,22,M,6.3,False,False,0,,8.0,5,0,0,0,0,,2.0,1.0,13.0,8.0,1.0,,,,4.0,4.0,2.0,,,,2.0,,,
587183,Werder Bremen,162,25332,Josh Sargent,https://media.api-sports.io/football/players/25332.png,90.0,19,M,6.5,False,False,0,,18.0,9,0,0,0,0,,2.0,1.0,10.0,4.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,,
587183,Werder Bremen,162,25362,Davie Selke,https://media.api-sports.io/football/players/25362.png,90.0,9,F,7.2,False,False,0,,19.0,15,1,0,0,0,,,,15.0,5.0,,1.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,,,
587183,Werder Bremen,162,25330,Yuya Osako,https://media.api-sports.io/football/players/25330.png,45.0,8,F,6.6,False,False,0,,14.0,8,0,0,0,0,,1.0,,6.0,5.0,,1.0,,,1.0,1.0,1.0,,,,,,,
587183,Werder Bremen,162,25309,Stefanos Kapino,https://media.api-sports.io/football/players/25309.png,,27,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
587183,Werder Bremen,162,26319,Felix Agu,https://media.api-sports.io/football/players/26319.png,,17,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
